route	prob	log	prob_chain	log_chain
Start: (30.486, -91.716) -> End: (42.934, -82.875)	0	-inf	0	-inf
Start: (32.24, -91.253) -> End: (45.024, -71.59100000000001)	0	-inf	2.3143061523e-77	-176.45994
Start: (30.416, -91.58299999999996) -> End: (47.652, -65.09000000000003)	1.1191063186e-05	-11.40040	1.6104461108e-78	-179.12513
Start: (30.484, -91.68600000000004) -> End: (47.64, -65.09800000000001)	1.1191063186e-05	-11.40040	1.6104461108e-78	-179.12513
Start: (30.953, -91.00099999999998) -> End: (47.674, -64.97699999999998)	0	-inf	0	-inf
Start: (30.759, -93.32799999999996) -> End: (48.383, -78.918)	0	-inf	2.2590136244e-78	-178.78671
Start: (32.758, -92.113) -> End: (38.079, -88.89300000000003)	0	-inf	0	-inf
Start: (30.772, -93.43) -> End: (49.908, -95.01)	0	-inf	2.2590136244e-78	-178.78671
Start: (30.8, -93.37599999999998) -> End: (30.857, -93.36400000000005)	0	-inf	0	-inf
Start: (31.083, -91.623) -> End: (45.252, -89.195)	0	-inf	0	-inf
Start: (31.069, -91.69299999999998) -> End: (45.277, -88.85300000000001)	0	-inf	6.2482405494e-77	-175.46675
Start: (31.029, -85.10399999999998) -> End: (49.288, -77.0)	0	-inf	0	-inf
Start: (33.25, -94.159) -> End: (44.842, -83.51099999999997)	0	-inf	0	-inf
Start: (33.884, -91.265) -> End: (45.569, -93.79200000000004)	0	-inf	0	-inf
Start: (30.446, -93.884) -> End: (47.772, -94.45999999999998)	0	-inf	2.2590136244e-78	-178.78671
Start: (31.907, -94.53199999999998) -> End: (47.751, -94.43399999999995)	0	-inf	2.2412515905e-77	-176.49202
Start: (32.661, -94.137) -> End: (49.622, -93.31399999999996)	0	-inf	0	-inf
Start: (32.664, -94.12) -> End: (49.526, -92.921)	0	-inf	0	-inf
Start: (32.658, -94.12900000000002) -> End: (49.588, -93.241)	0	-inf	0	-inf
Start: (32.65, -94.10500000000002) -> End: (48.804, -80.791)	0	-inf	1.1283439540e-77	-177.17830
Start: (32.648, -94.09699999999998) -> End: (42.289, -86.17700000000002)	0	-inf	0	-inf
Start: (32.669, -94.171) -> End: (45.392, -97.003)	0	-inf	0	-inf
Start: (32.665, -94.135) -> End: (43.197, -78.47899999999998)	0	-inf	1.1283439540e-77	-177.17830
Start: (32.17, -94.18899999999996) -> End: (43.23, -78.406)	0	-inf	1.1283439540e-77	-177.17830
Start: (32.643, -94.06799999999998) -> End: (49.415, -83.947)	0	-inf	0	-inf
Start: (31.73, -95.534) -> End: (46.444, -88.59000000000003)	0	-inf	0	-inf
Start: (31.658, -95.579) -> End: (46.308, -88.46299999999997)	0	-inf	0	-inf
Start: (31.999, -91.32100000000004) -> End: (37.375, -83.88599999999997)	0	-inf	0	-inf
Start: (30.497, -91.70600000000002) -> End: (46.221, -87.72300000000001)	0	-inf	1.6104461108e-78	-179.12513
Start: (32.036, -91.35000000000002) -> End: (47.771, -76.67599999999999)	0	-inf	0	-inf
Start: (31.289, -92.673) -> End: (46.264, -88.51800000000003)	0	-inf	0	-inf
Start: (30.819, -93.377) -> End: (48.857, -77.851)	0	-inf	2.2590136244e-78	-178.78671
Start: (31.872, -93.63099999999996) -> End: (48.923, -78.17099999999999)	0	-inf	3.6500003089e-78	-178.30691
Start: (31.299, -92.685) -> End: (44.348, -83.48900000000003)	0	-inf	0	-inf
Start: (31.241, -92.733) -> End: (47.372, -83.75400000000002)	0	-inf	0	-inf
Start: (32.866, -92.209) -> End: (47.345, -83.779)	0	-inf	0	-inf
Start: (31.284, -92.65699999999998) -> End: (43.253, -70.82)	0	-inf	0	-inf
Start: (43.165, -70.606) -> End: (43.222, -70.839)	0	-inf	0	-inf
Start: (30.489, -91.688) -> End: (44.035, -78.55599999999998)	0	-inf	1.6104461108e-78	-179.12513
Start: (30.497, -91.716) -> End: (42.244, -85.964)	0	-inf	0	-inf
Start: (42.215, -85.96800000000002) -> End: (42.249, -86.05099999999999)	0	-inf	0	-inf
Start: (31.284, -92.62900000000002) -> End: (48.307, -93.111)	0	-inf	0	-inf
Start: (30.35, -93.798) -> End: (48.283, -93.31799999999998)	0	-inf	0	-inf
Start: (32.813, -94.15699999999998) -> End: (38.41, -93.63099999999996)	0	-inf	0	-inf
Start: (32.659, -94.185) -> End: (47.159, -94.767)	0	-inf	1.1283439540e-77	-177.17830
Start: (32.664, -94.163) -> End: (47.158, -94.68399999999995)	0	-inf	1.1283439540e-77	-177.17830
